Round Number,Date,Location,Home Team,Away Team,Result
16,05/07/2019 19:50,MCG,Hawthorn,Collingwood,
16,06/07/2019 13:45,MCG,Essendon,Sydney Swans,
16,06/07/2019 14:10,Metricon Stadium,Gold Coast Suns,Richmond,
16,06/07/2019 16:35,Adelaide Oval,Adelaide Crows,Port Adelaide,
16,06/07/2019 19:25,Marvel Stadium,Western Bulldogs,Geelong Cats,
16,06/07/2019 20:10,Optus Stadium,Fremantle,West Coast Eagles,
16,07/07/2019 13:10,MCG,Carlton,Melbourne,
16,07/07/2019 15:20,Blundstone Arena,North Melbourne,St Kilda,
16,07/07/2019 16:40,Sydney Showground Stadium,GWS Giants,Brisbane Lions,
17,12/07/2019 20:10,Optus Stadium,West Coast Eagles,Collingwood,
17,13/07/2019 13:45,SCG,Sydney Swans,Carlton,
17,13/07/2019 14:10,University of Tasmania Stadium,Hawthorn,Fremantle,
17,13/07/2019 16:35,Marvel Stadium,Essendon,North Melbourne,
17,13/07/2019 19:25,Metricon Stadium,Gold Coast Suns,Adelaide Crows,
17,13/07/2019 19:25,GMHBA Stadium,Geelong Cats,St Kilda,
17,14/07/2019 13:10,MCG,Richmond,GWS Giants,
17,14/07/2019 15:20,Marvel Stadium,Western Bulldogs,Melbourne,
17,14/07/2019 16:40,Adelaide Oval,Port Adelaide,Brisbane Lions,
18,19/07/2019 19:50,Adelaide Oval,Adelaide Crows,Essendon,
18,20/07/2019 13:45,MCG,Richmond,Port Adelaide,
18,20/07/2019 14:10,Marvel Stadium,Carlton,Gold Coast Suns,
18,20/07/2019 16:35,Sydney Showground Stadium,GWS Giants,Collingwood,
18,20/07/2019 19:25,Gabba,Brisbane Lions,North Melbourne,
18,20/07/2019 20:10,Optus Stadium,Fremantle,Sydney Swans,
18,21/07/2019 13:10,MCG,Geelong Cats,Hawthorn,
18,21/07/2019 15:20,TIO Traeger Park,Melbourne,West Coast Eagles,
18,21/07/2019 16:40,Marvel Stadium,St Kilda,Western Bulldogs,
19,26/07/2019 19:50,MCG,Collingwood,Richmond,
19,27/07/2019 13:45,University of Tasmania Stadium,Hawthorn,Brisbane Lions,
19,27/07/2019 14:10,MCG,Carlton,Adelaide Crows,
19,27/07/2019 16:35,Optus Stadium,West Coast Eagles,North Melbourne,
19,27/07/2019 19:25,Marvel Stadium,St Kilda,Melbourne,
19,27/07/2019 19:40,Adelaide Oval,Port Adelaide,GWS Giants,
19,28/07/2019 13:10,Marvel Stadium,Western Bulldogs,Fremantle,
19,28/07/2019 15:20,SCG,Sydney Swans,Geelong Cats,
19,28/07/2019 16:40,Metricon Stadium,Gold Coast Suns,Essendon,
20,02/08/2019 19:50,Marvel Stadium,North Melbourne,Hawthorn,
20,03/08/2019 13:45,Marvel Stadium,Essendon,Port Adelaide,
20,03/08/2019 14:10,Sydney Showground Stadium,GWS Giants,Sydney Swans,
20,03/08/2019 16:35,Optus Stadium,Fremantle,Geelong Cats,
20,03/08/2019 19:25,MCG,Melbourne,Richmond,
20,03/08/2019 19:40,Adelaide Oval,Adelaide Crows,St Kilda,
20,04/08/2019 13:10,MCG,Collingwood,Gold Coast Suns,
20,04/08/2019 15:20,Marvel Stadium,Carlton,West Coast Eagles,
20,04/08/2019 16:40,Gabba,Brisbane Lions,Western Bulldogs,
21,09/08/2019 19:50,UNSW Canberra Oval,GWS Giants,Hawthorn,
21,10/08/2019 13:45,MCG,Melbourne,Collingwood,
21,10/08/2019 14:10,Adelaide Oval,Port Adelaide,Sydney Swans,
21,10/08/2019 16:35,Gabba,Brisbane Lions,Gold Coast Suns,
21,10/08/2019 19:25,Marvel Stadium,Essendon,Western Bulldogs,
21,10/08/2019 19:25,GMHBA Stadium,Geelong Cats,North Melbourne,
21,11/08/2019 13:10,Marvel Stadium,St Kilda,Fremantle,
21,11/08/2019 15:20,MCG,Richmond,Carlton,
21,11/08/2019 16:40,Optus Stadium,West Coast Eagles,Adelaide Crows,
22,16/08/2019 19:50,MCG,Melbourne,Sydney Swans,
22,17/08/2019 13:45,MCG,Carlton,St Kilda,
22,17/08/2019 14:10,Gabba,Brisbane Lions,Geelong Cats,
22,17/08/2019 16:35,Adelaide Oval,Adelaide Crows,Collingwood,
22,17/08/2019 19:25,Marvel Stadium,North Melbourne,Port Adelaide,
22,17/08/2019 20:10,Optus Stadium,Fremantle,Essendon,
22,18/08/2019 13:10,MCG,Richmond,West Coast Eagles,
22,18/08/2019 15:20,Sydney Showground Stadium,GWS Giants,Western Bulldogs,
22,18/08/2019 16:40,Marvel Stadium,Hawthorn,Gold Coast Suns,
23,24/08/2019 00:00,Blundstone Arena,North Melbourne,Melbourne,
23,24/08/2019 00:00,MCG,Richmond,Brisbane Lions,
23,24/08/2019 00:00,Metricon Stadium,Gold Coast Suns,GWS Giants,
23,24/08/2019 00:30,Adelaide Oval,Port Adelaide,Fremantle,
23,24/08/2019 02:00,Optus Stadium,West Coast Eagles,Hawthorn,
23,25/08/2019 00:00,GMHBA Stadium,Geelong Cats,Carlton,
23,25/08/2019 00:00,Mars Stadium,Western Bulldogs,Adelaide Crows,
23,25/08/2019 00:00,MCG,Collingwood,Essendon,
23,25/08/2019 00:00,SCG,Sydney Swans,St Kilda,
Finals W1,05/09/2019 00:00,TBA,To be announced,To be announced,
Finals W1,06/09/2019 00:00,TBA,To be announced,To be announced,
Finals W1,07/09/2019 00:00,TBA,To be announced,To be announced,
Finals W1,08/09/2019 00:00,TBA,To be announced,To be announced,
Semi Finals,13/09/2019 00:00,TBA,To be announced,To be announced,
Semi Finals,14/09/2019 00:00,TBA,To be announced,To be announced,
Prelim Finals,20/09/2019 00:00,TBA,To be announced,To be announced,
Prelim Finals,21/09/2019 00:00,TBA,To be announced,To be announced,
Grand Final,28/09/2019 00:00,MCG,To be announced,To be announced,
